INFO 2025-02-25 22:18:29,966 autoreload Watching for file changes with StatReloader
WARNING 2025-02-25 22:18:30,371 aes TgCrypto is missing! Pyrogram will work the same, but at a much slower speed. More info: https://docs.pyrogram.org/topics/speedups
WARNING 2025-02-25 22:19:01,259 aes TgCrypto is missing! Pyrogram will work the same, but at a much slower speed. More info: https://docs.pyrogram.org/topics/speedups
INFO 2025-02-25 22:19:09,250 autoreload Watching for file changes with StatReloader
WARNING 2025-02-25 22:19:09,650 aes TgCrypto is missing! Pyrogram will work the same, but at a much slower speed. More info: https://docs.pyrogram.org/topics/speedups
INFO 2025-02-25 22:19:22,108 autoreload Watching for file changes with StatReloader
WARNING 2025-02-25 22:19:22,505 aes TgCrypto is missing! Pyrogram will work the same, but at a much slower speed. More info: https://docs.pyrogram.org/topics/speedups
WARNING 2025-02-25 22:19:54,107 aes TgCrypto is missing! Pyrogram will work the same, but at a much slower speed. More info: https://docs.pyrogram.org/topics/speedups
INFO 2025-02-25 22:20:01,853 autoreload Watching for file changes with StatReloader
WARNING 2025-02-25 22:20:02,251 aes TgCrypto is missing! Pyrogram will work the same, but at a much slower speed. More info: https://docs.pyrogram.org/topics/speedups
INFO 2025-02-25 22:20:51,962 auth Start creating a new auth key on DC2
INFO 2025-02-25 22:20:51,964 connection Connecting...
INFO 2025-02-25 22:20:52,120 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:20:53,727 auth Done auth key exchange: DhGenOk
INFO 2025-02-25 22:20:53,728 connection Disconnected
INFO 2025-02-25 22:20:53,748 connection Connecting...
INFO 2025-02-25 22:20:53,901 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:20:53,902 session NetworkTask started
INFO 2025-02-25 22:20:54,596 session Session initialized: Layer 158
INFO 2025-02-25 22:20:54,596 session Device: CPython 3.13.2 - Pyrogram 2.0.106
INFO 2025-02-25 22:20:54,596 session System: Windows 11 (en)
INFO 2025-02-25 22:20:54,597 session Session started
INFO 2025-02-25 22:20:54,598 session PingTask started
INFO 2025-02-25 22:22:11,096 session NetworkTask stopped
INFO 2025-02-25 22:22:11,096 session PingTask stopped
INFO 2025-02-25 22:22:11,097 connection Disconnected
INFO 2025-02-25 22:22:11,097 session Session stopped
INFO 2025-02-25 22:22:11,097 connection Connecting...
INFO 2025-02-25 22:22:11,241 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:22:11,242 session NetworkTask started
